Transaction ID,Date,Time,Day,Product,Category,Quantity,Unit Price (£),Promotion,Stock Before Sale,Waste Quantity,Staff on Shift,Checkout Wait (mins),Revenue (£),Hours
T00060,02/06/2026,17:50,Tuesday,Ice Cream,Frozen,1,£3.95,No,19,0,9,5.7,£3.95,17
T00061,08/08/2026,18:25,Saturday,Milk 2L,Dairy,3,£1.55,No,32,0,8,3.8,£4.65,18
T00062,06/07/2026,16:05,Monday,Bin Bags,Household,4,£2.69,No,24,0,7,2.4,£10.76,16
T00063,11/08/2026,19:30,Tuesday,Tomatoes,Fresh Produce,1,£1.27,Yes,37,1,7,6.0,£1.27,19
T00064,24/07/2026,17:15,Friday,Tomatoes,Fresh Produce,1,£1.49,No,15,0,9,6.2,£1.49,17
T00065,27/07/2026,21:40,Monday,Orange Juice,Drinks,1,£1.89,No,52,0,6,2.0,£1.89,21
T00066,04/07/2026,07:45,Saturday,Chocolate Cookies,Bakery,2,£1.44,Yes,3,3,7,1.9,£2.88,7
T00067,01/08/2026,13:15,Saturday,Apples,Fresh Produce,1,£1.79,No,27,0,6,3.2,£1.79,13
T00068,02/06/2026,13:10,Tuesday,Frozen Chips,Frozen,1,£2.25,No,38,0,9,4.5,£2.25,13
T00069,15/06/2026,14:40,Monday,Chocolate Cookies,Bakery,2,£1.69,No,32,2,6,2.6,£3.38,14
T00070,11/07/2026,13:00,Saturday,Frozen Chips,Frozen,1,£2.25,No,3,0,9,3.8,£2.25,13
T00071,15/06/2026,14:00,Monday,Croissants,Bakery,2,£1.99,No,25,0,5,4.6,£3.98,14
T00072,26/06/2026,16:35,Friday,Washing Liquid,Household,2,£3.39,Yes,12,0,7,2.2,£6.78,16
T00073,22/06/2026,11:55,Monday,Frozen Chips,Frozen,2,£2.25,No,31,0,5,4.0,£4.50,11
T00074,14/07/2026,15:55,Tuesday,Kitchen Roll,Household,1,£3.29,No,53,0,6,1.7,£3.29,15
T00075,21/06/2026,16:00,Sunday,Kitchen Roll,Household,3,£3.29,No,26,0,6,2.0,£9.87,16
T00076,16/07/2026,09:25,Thursday,Tomatoes,Fresh Produce,1,£1.27,Yes,57,0,6,2.2,£1.27,9
T00077,05/06/2026,15:40,Friday,Orange Juice,Drinks,1,£1.61,Yes,30,0,4,3.5,£1.61,15
T00078,24/07/2026,12:10,Friday,Chocolate Cookies,Bakery,1,£1.69,No,10,0,6,4.1,£1.69,12
T00079,06/06/2026,12:00,Saturday,Greek Yogurt,Dairy,2,£1.85,No,41,0,7,3.8,£3.70,12
T00080,15/08/2026,18:10,Saturday,Orange Juice,Drinks,2,£1.61,Yes,23,0,6,4.4,£3.22,18
T00081,28/06/2026,18:25,Sunday,Orange Juice,Drinks,3,£1.89,No,36,0,8,6.7,£5.67,18
T00082,15/06/2026,17:30,Monday,Washing Liquid,Household,2,£3.99,No,34,0,6,5.6,£7.98,17
T00083,27/06/2026,07:00,Saturday,Kitchen Roll,Household,2,£3.29,No,11,0,6,2.3,£6.58,7
T00084,23/08/2026,17:35,Sunday,Apples,Fresh Produce,2,£1.79,No,60,0,6,2.8,£3.58,17
T00085,12/07/2026,09:25,Sunday,Bottled Water 6pk,Drinks,1,£2.49,No,45,0,5,5.4,£2.49,9
T00086,14/08/2026,15:30,Friday,Orange Juice,Drinks,1,£1.89,No,36,0,5,4.6,£1.89,15
T00087,29/08/2026,10:20,Saturday,Apples,Fresh Produce,1,£1.79,No,60,0,6,1.9,£1.79,10
T00088,19/08/2026,12:30,Wednesday,Orange Juice,Drinks,1,£1.89,No,26,0,7,4.2,£1.89,12
T00089,03/08/2026,09:45,Monday,Kitchen Roll,Household,1,£3.29,No,23,0,7,2.2,£3.29,9
T00090,25/07/2026,13:20,Saturday,Bottled Water 6pk,Drinks,4,£2.49,No,45,0,6,4.5,£9.96,13
T00091,15/08/2026,14:35,Saturday,Tomatoes,Fresh Produce,1,£1.27,Yes,33,0,5,3.3,£1.27,14
T00092,18/07/2026,17:10,Saturday,White Bread,Bakery,1,£1.18,Yes,44,0,9,6.2,£1.18,17
T00093,11/07/2026,16:25,Saturday,Kitchen Roll,Household,1,£3.29,No,21,0,6,1.3,£3.29,16
T00094,12/07/2026,18:05,Sunday,Cola 2L,Drinks,2,£1.75,No,6,0,9,3.9,£3.50,18
T00095,04/07/2026,14:25,Saturday,Frozen Chips,Frozen,4,£2.25,No,54,0,5,4.3,£9.00,14
T00096,05/06/2026,08:30,Friday,Bin Bags,Household,2,£2.69,No,60,0,6,1.7,£5.38,8
T00097,03/08/2026,12:15,Monday,White Bread,Bakery,1,£1.39,No,42,0,7,4.8,£1.39,12
T00098,27/06/2026,18:20,Saturday,Greek Yogurt,Dairy,1,£1.85,No,11,0,6,4.2,£1.85,18
T00099,22/08/2026,21:20,Saturday,Bin Bags,Household,1,£2.69,No,8,0,6,1.2,£2.69,21
T00100,17/06/2026,11:25,Wednesday,Washing Liquid,Household,1,£3.99,No,32,0,6,2.9,£3.99,11
T00101,09/07/2026,15:25,Thursday,Frozen Chips,Frozen,1,£2.25,No,12,0,7,2.3,£2.25,15
T00102,03/06/2026,17:30,Wednesday,Apples,Fresh Produce,1,£1.79,No,25,0,7,6.2,£1.79,17
T00103,21/06/2026,19:40,Sunday,Frozen Chips,Frozen,1,£2.25,No,47,0,7,4.4,£2.25,19
T00104,07/08/2026,13:15,Friday,Bottled Water 6pk,Drinks,2,£2.12,Yes,23,0,9,4.5,£4.24,13
T00105,13/07/2026,14:15,Monday,Cola 2L,Drinks,3,£1.75,No,24,0,5,4.1,£5.25,14
T00106,02/08/2026,17:25,Sunday,Ice Cream,Frozen,1,£3.36,Yes,31,0,9,3.3,£3.36,17
T00107,19/08/2026,13:15,Wednesday,Frozen Chips,Frozen,2,£2.25,No,35,0,6,4.6,£4.50,13
T00108,13/06/2026,13:45,Saturday,Kitchen Roll,Household,2,£3.29,No,14,0,8,4.7,£6.58,13
T00109,13/07/2026,19:55,Monday,White Bread,Bakery,2,£1.39,No,53,2,8,4.7,£2.78,19
T00110,28/07/2026,14:00,Tuesday,Ice Cream,Frozen,2,£3.95,No,3,0,7,2.3,£7.90,14
T00111,30/07/2026,19:30,Thursday,Orange Juice,Drinks,3,£1.89,No,26,0,7,5.2,£5.67,19
T00112,01/08/2026,17:10,Saturday,Bananas,Fresh Produce,1,£0.95,No,26,0,6,4.6,£0.95,17
T00113,19/06/2026,12:15,Friday,Frozen Chips,Frozen,2,£1.91,Yes,38,1,6,4.8,£3.82,12
T00114,07/08/2026,21:55,Friday,Washing Liquid,Household,1,£3.99,No,42,0,7,2.0,£3.99,21
T00115,17/08/2026,12:05,Monday,Chocolate Cookies,Bakery,2,£1.69,No,36,3,6,2.9,£3.38,12
T00116,15/06/2026,09:50,Monday,Croissants,Bakery,1,£1.99,No,41,0,7,2.7,£1.99,9
T00117,04/06/2026,16:55,Thursday,Bin Bags,Household,1,£2.29,Yes,21,0,5,4.0,£2.29,16
T00118,03/07/2026,14:10,Friday,Croissants,Bakery,4,£1.99,No,9,0,6,2.3,£7.96,14
T00119,18/08/2026,13:10,Tuesday,Greek Yogurt,Dairy,3,£1.85,No,43,0,6,3.5,£5.55,13
T00120,23/07/2026,17:00,Thursday,Frozen Chips,Frozen,1,£1.91,Yes,12,0,7,5.0,£1.91,17
T00121,14/08/2026,14:15,Friday,Bin Bags,Household,2,£2.69,No,17,0,7,2.4,£5.38,14
T00122,05/07/2026,12:20,Sunday,Greek Yogurt,Dairy,1,£1.57,Yes,6,0,6,4.4,£1.57,12
T00123,07/07/2026,14:50,Tuesday,Bananas,Fresh Produce,1,£0.95,No,51,3,6,1.9,£0.95,14
T00124,19/06/2026,18:10,Friday,Greek Yogurt,Dairy,2,£1.85,No,23,0,7,3.9,£3.70,18
T00125,06/06/2026,12:00,Saturday,Ice Cream,Frozen,3,£3.95,No,44,0,9,4.5,£11.85,12
T00126,09/08/2026,10:50,Sunday,Washing Liquid,Household,1,£3.99,No,58,0,4,3.6,£3.99,10
T00127,26/07/2026,08:05,Sunday,Greek Yogurt,Dairy,1,£1.57,Yes,15,0,6,1.1,£1.57,8
T00128,13/07/2026,16:20,Monday,Ice Cream,Frozen,1,£3.95,No,27,0,5,4.2,£3.95,16
T00129,19/06/2026,13:25,Friday,Apples,Fresh Produce,2,£1.52,Yes,19,0,9,4.6,£3.04,13
T00130,15/06/2026,19:55,Monday,Bananas,Fresh Produce,2,£0.81,Yes,27,0,9,5.4,£1.62,19
T00131,13/08/2026,12:15,Thursday,White Bread,Bakery,3,£1.39,No,25,0,6,3.8,£4.17,12
T00132,19/06/2026,12:20,Friday,Cola 2L,Drinks,1,£1.49,Yes,36,0,7,4.4,£1.49,12
T00133,28/08/2026,17:10,Friday,Greek Yogurt,Dairy,3,£1.85,No,60,0,8,4.1,£5.55,17
T00134,08/08/2026,20:00,Saturday,Orange Juice,Drinks,1,£1.89,No,10,0,4,4.1,£1.89,20
T00135,06/08/2026,13:40,Thursday,Apples,Fresh Produce,2,£1.79,No,23,0,9,6.2,£3.58,13
T00136,24/08/2026,17:05,Monday,Greek Yogurt,Dairy,1,£1.85,No,48,0,9,5.2,£1.85,17
T00137,03/06/2026,16:25,Wednesday,Frozen Chips,Frozen,2,£1.91,Yes,11,0,4,2.8,£3.82,16
T00138,06/08/2026,18:40,Thursday,Kitchen Roll,Household,1,£3.29,No,45,0,9,6.1,£3.29,18
T00139,30/07/2026,17:45,Thursday,Orange Juice,Drinks,3,£1.89,No,55,0,7,4.4,£5.67,17
T00140,08/08/2026,14:05,Saturday,Tomatoes,Fresh Produce,1,£1.49,No,43,0,4,4.6,£1.49,14
T00141,10/06/2026,09:20,Wednesday,Chocolate Cookies,Bakery,1,£1.44,Yes,58,0,6,2.6,£1.44,9
T00142,18/06/2026,14:35,Thursday,Frozen Chips,Frozen,3,£2.25,No,19,0,4,3.7,£6.75,14
T00143,16/08/2026,17:15,Sunday,Tomatoes,Fresh Produce,3,£1.49,No,47,0,8,5.7,£4.47,17
T00144,03/07/2026,16:40,Friday,Greek Yogurt,Dairy,1,£1.85,No,14,0,4,3.5,£1.85,16
T00145,11/07/2026,17:30,Saturday,Frozen Pizza,Frozen,1,£3.49,No,39,0,7,4.4,£3.49,17
T00146,09/08/2026,12:30,Sunday,Frozen Chips,Frozen,2,£1.91,Yes,37,0,7,5.1,£3.82,12
T00147,02/06/2026,16:05,Tuesday,Washing Liquid,Household,1,£3.99,No,11,0,7,2.3,£3.99,16
T00148,09/08/2026,14:40,Sunday,Kitchen Roll,Household,1,£3.29,No,36,0,6,2.3,£3.29,14
T00149,07/08/2026,13:10,Friday,White Bread,Bakery,2,£1.18,Yes,23,0,6,3.9,£2.36,13
T00150,28/07/2026,14:40,Tuesday,Frozen Pizza,Frozen,1,£3.49,No,47,0,4,3.2,£3.49,14
T00151,22/08/2026,13:40,Saturday,Frozen Pizza,Frozen,1,£3.49,No,27,0,7,5.3,£3.49,13
T00152,28/08/2026,07:55,Friday,Kitchen Roll,Household,1,£3.29,No,19,0,4,3.0,£3.29,7
T00153,22/08/2026,08:50,Saturday,Ice Cream,Frozen,3,£3.95,No,16,0,7,2.0,£11.85,8
T00154,28/06/2026,09:30,Sunday,Cola 2L,Drinks,1,£1.49,Yes,24,0,5,3.2,£1.49,9
T00155,04/08/2026,19:20,Tuesday,Cola 2L,Drinks,1,£1.75,No,55,0,9,4.3,£1.75,19
T00156,05/06/2026,16:10,Friday,Milk 2L,Dairy,1,£1.32,Yes,6,1,5,4.9,£1.32,16
T00157,07/06/2026,16:45,Sunday,Tomatoes,Fresh Produce,2,£1.49,No,33,2,7,2.2,£2.98,16
T00158,26/07/2026,19:35,Sunday,Apples,Fresh Produce,1,£1.79,No,49,0,7,3.7,£1.79,19
T00159,08/07/2026,16:40,Wednesday,Cola 2L,Drinks,1,£1.75,No,60,0,6,2.5,£1.75,16
T00160,01/08/2026,18:45,Saturday,Cheddar Cheese,Dairy,1,£2.79,No,43,1,9,6.0,£2.79,18
T00161,03/07/2026,14:00,Friday,Cheddar Cheese,Dairy,3,£2.79,No,5,0,5,3.4,£8.37,14
T00162,21/07/2026,16:30,Tuesday,Apples,Fresh Produce,1,£1.52,Yes,3,2,4,4.0,£1.52,16
T00163,12/07/2026,13:35,Sunday,Apples,Fresh Produce,2,£1.79,No,21,0,7,4.4,£3.58,13
T00164,19/07/2026,19:50,Sunday,Cheddar Cheese,Dairy,2,£2.37,Yes,29,0,9,4.1,£4.74,19
T00165,25/07/2026,14:35,Saturday,Washing Liquid,Household,2,£3.99,No,51,0,6,2.6,£7.98,14
T00166,29/08/2026,18:10,Saturday,Croissants,Bakery,3,£1.99,No,52,1,7,3.9,£5.97,18
T00167,13/06/2026,13:40,Saturday,Bananas,Fresh Produce,1,£0.95,No,53,1,7,2.9,£0.95,13
T00168,24/08/2026,21:20,Monday,Greek Yogurt,Dairy,3,£1.85,No,3,0,6,2.1,£5.55,21
T00169,11/08/2026,14:15,Tuesday,Washing Liquid,Household,2,£3.99,No,9,0,4,3.7,£7.98,14
T00170,17/07/2026,14:45,Friday,Frozen Chips,Frozen,1,£2.25,No,38,1,5,2.8,£2.25,14
T00171,22/08/2026,18:20,Saturday,Chocolate Cookies,Bakery,1,£1.69,No,7,0,9,4.7,£1.69,18
T00172,08/07/2026,17:50,Wednesday,Ice Cream,Frozen,4,£3.36,Yes,59,0,8,5.0,£13.44,17
T00173,11/07/2026,12:40,Saturday,Orange Juice,Drinks,2,£1.89,No,44,0,9,5.4,£3.78,12
T00174,19/07/2026,07:35,Sunday,White Bread,Bakery,1,£1.18,Yes,5,0,5,5.1,£1.18,7
T00175,02/07/2026,12:30,Thursday,White Bread,Bakery,1,£1.18,Yes,27,2,6,4.8,£1.18,12
T00176,29/08/2026,16:55,Saturday,Croissants,Bakery,3,£1.99,No,4,3,6,1.6,£5.97,16
T00177,11/08/2026,09:25,Tuesday,Bottled Water 6pk,Drinks,2,£2.49,No,6,0,7,2.0,£4.98,9
T00178,15/08/2026,21:10,Saturday,Washing Liquid,Household,1,£3.99,No,38,0,4,4.6,£3.99,21
T00179,29/08/2026,19:25,Saturday,Washing Liquid,Household,4,£3.99,No,33,0,9,4.6,£15.96,19
T00180,04/06/2026,10:55,Thursday,Orange Juice,Drinks,1,£1.89,No,24,0,4,4.5,£1.89,10
T00181,03/07/2026,18:40,Friday,Kitchen Roll,Household,1,£3.29,No,40,0,7,3.8,£3.29,18
T00182,25/08/2026,17:30,Tuesday,Orange Juice,Drinks,1,£1.61,Yes,17,0,6,5.1,£1.61,17
T00183,10/07/2026,19:50,Friday,Orange Juice,Drinks,2,£1.89,No,12,0,6,3.7,£3.78,19
T00184,25/06/2026,12:05,Thursday,Washing Liquid,Household,2,£3.39,Yes,7,0,7,3.1,£6.78,12
T00185,26/07/2026,18:50,Sunday,Milk 2L,Dairy,1,£1.55,No,20,0,7,5.8,£1.55,18
T00186,08/06/2026,09:50,Monday,Frozen Chips,Frozen,2,£2.25,No,32,0,5,3.8,£4.50,9
T00187,08/07/2026,14:50,Wednesday,Apples,Fresh Produce,1,£1.79,No,47,0,5,4.0,£1.79,14
T00188,10/06/2026,12:15,Wednesday,Orange Juice,Drinks,2,£1.61,Yes,12,0,7,6.7,£3.22,12
T00189,04/07/2026,19:15,Saturday,Greek Yogurt,Dairy,2,£1.57,Yes,18,0,8,3.6,£3.14,19
T00190,06/08/2026,14:35,Thursday,Frozen Pizza,Frozen,2,£3.49,No,48,0,6,2.7,£6.98,14
T00191,29/06/2026,12:30,Monday,Frozen Chips,Frozen,1,£1.91,Yes,53,0,8,4.2,£1.91,12
T00192,22/08/2026,13:15,Saturday,Kitchen Roll,Household,1,£2.80,Yes,32,0,7,4.5,£2.80,13
T00193,18/07/2026,18:00,Saturday,Bananas,Fresh Produce,1,£0.95,No,55,0,9,3.6,£0.95,18
T00194,20/06/2026,12:25,Saturday,Frozen Chips,Frozen,2,£2.25,No,55,0,6,3.7,£4.50,12
T00195,23/07/2026,18:40,Thursday,Orange Juice,Drinks,1,£1.89,No,57,0,8,5.0,£1.89,18
T00196,02/08/2026,17:00,Sunday,Greek Yogurt,Dairy,3,£1.57,Yes,21,0,9,3.5,£4.71,17
T00197,08/06/2026,08:30,Monday,Apples,Fresh Produce,1,£1.52,Yes,18,0,5,3.0,£1.52,8
T00198,09/08/2026,12:40,Sunday,Croissants,Bakery,2,£1.69,Yes,47,1,8,4.5,£3.38,12
T00199,26/08/2026,16:20,Wednesday,Frozen Chips,Frozen,2,£2.25,No,14,0,7,1.9,£4.50,16
T00200,19/06/2026,12:40,Friday,Ice Cream,Frozen,1,£3.95,No,14,0,7,5.5,£3.95,12
T00201,21/06/2026,19:05,Sunday,Tomatoes,Fresh Produce,1,£1.49,No,43,0,6,4.9,£1.49,19
T00202,22/06/2026,16:40,Monday,Ice Cream,Frozen,4,£3.95,No,53,1,6,1.9,£15.80,16
T00203,11/06/2026,07:40,Thursday,Cheddar Cheese,Dairy,1,£2.37,Yes,31,0,5,2.8,£2.37,7
T00204,18/07/2026,08:10,Saturday,Bottled Water 6pk,Drinks,3,£2.49,No,8,0,4,2.5,£7.47,8
T00205,08/07/2026,20:45,Wednesday,Orange Juice,Drinks,1,£1.89,No,30,0,5,2.9,£1.89,20
T00206,30/08/2026,17:55,Sunday,Bananas,Fresh Produce,1,£0.95,No,4,0,9,4.2,£0.95,17
T00207,04/06/2026,14:15,Thursday,Greek Yogurt,Dairy,1,£1.85,No,35,1,5,2.6,£1.85,14
T00208,02/06/2026,19:10,Tuesday,Greek Yogurt,Dairy,1,£1.85,No,43,0,6,6.0,£1.85,19
T00209,09/08/2026,14:00,Sunday,Croissants,Bakery,1,£1.99,No,34,1,4,3.5,£1.99,14
T00210,01/06/2026,14:40,Monday,White Bread,Bakery,1,£1.39,No,15,0,4,4.4,£1.39,14
T00211,09/08/2026,18:10,Sunday,Bin Bags,Household,1,£2.69,No,24,0,9,4.6,£2.69,18
T00212,29/08/2026,14:15,Saturday,Cola 2L,Drinks,1,£1.75,No,46,0,6,1.6,£1.75,14
T00213,03/08/2026,16:35,Monday,Frozen Chips,Frozen,2,£2.25,No,34,0,6,2.6,£4.50,16
T00214,01/08/2026,08:15,Saturday,Milk 2L,Dairy,1,£1.55,No,14,0,5,2.5,£1.55,8
T00215,10/07/2026,16:00,Friday,Orange Juice,Drinks,4,£1.89,No,28,0,7,1.5,£7.56,16
T00216,14/08/2026,08:00,Friday,Greek Yogurt,Dairy,1,£1.57,Yes,51,0,7,2.5,£1.57,8
T00217,15/06/2026,19:45,Monday,Bin Bags,Household,1,£2.69,No,57,0,9,4.8,£2.69,19
T00218,23/08/2026,13:35,Sunday,Ice Cream,Frozen,1,£3.95,No,21,0,7,4.6,£3.95,13
T00219,06/06/2026,15:40,Saturday,Ice Cream,Frozen,1,£3.95,No,23,0,5,5.0,£3.95,15
T00220,27/08/2026,08:10,Thursday,Cola 2L,Drinks,1,£1.75,No,10,0,6,1.8,£1.75,8
T00221,24/07/2026,16:45,Friday,Cola 2L,Drinks,3,£1.49,Yes,26,0,6,1.7,£4.47,16
T00222,10/08/2026,13:55,Monday,Bin Bags,Household,1,£2.69,No,36,0,9,4.3,£2.69,13
T00223,30/08/2026,19:30,Sunday,Milk 2L,Dairy,2,£1.32,Yes,60,0,7,3.5,£2.64,19
T00224,09/07/2026,12:25,Thursday,Frozen Chips,Frozen,4,£2.25,No,33,0,7,4.4,£9.00,12
T00225,26/06/2026,14:55,Friday,Frozen Pizza,Frozen,1,£3.49,No,19,0,4,4.1,£3.49,14
T00226,06/07/2026,12:05,Monday,Apples,Fresh Produce,3,£1.79,No,59,0,9,6.0,£5.37,12
T00227,24/06/2026,18:55,Wednesday,Tomatoes,Fresh Produce,3,£1.27,Yes,6,0,8,5.2,£3.81,18
T00228,16/06/2026,16:15,Tuesday,Milk 2L,Dairy,1,£1.32,Yes,52,0,6,1.3,£1.32,16
T00229,06/06/2026,16:30,Saturday,Apples,Fresh Produce,2,£1.79,No,21,2,5,3.4,£3.58,16
T00230,27/07/2026,15:05,Monday,Tomatoes,Fresh Produce,1,£1.27,Yes,6,0,4,4.2,£1.27,15
T00231,10/07/2026,12:30,Friday,Orange Juice,Drinks,1,£1.89,No,50,0,9,4.1,£1.89,12
T00232,14/07/2026,10:05,Tuesday,Greek Yogurt,Dairy,1,£1.85,No,34,0,4,3.5,£1.85,10
T00233,04/08/2026,21:30,Tuesday,Orange Juice,Drinks,1,£1.89,No,40,0,7,1.0,£1.89,21
T00234,06/06/2026,16:30,Saturday,Washing Liquid,Household,2,£3.99,No,14,0,7,1.0,£7.98,16
